iter	Accuracy	CrossEntropy
0	0.8017558465	0.4974757539
1	0.8225232725	0.4113687897
2	0.8471202603	0.3583459325
3	0.8685991069	0.3172498511
4	0.8955876788	0.2627714653
5	0.9015060925	0.2510273384
6	0.9050480587	0.2412150353
7	0.9104064179	0.2319353452
8	0.9123741769	0.2237569932
9	0.9195035193	0.2038938492
10	0.9229243926	0.1941507768
11	0.9245742829	0.1905845654
12	0.926345266	0.1874453319
13	0.9287217135	0.1805806425
14	0.9346401271	0.1667192168
15	0.9362143344	0.1602806281
16	0.9375614925	0.1569428901
17	0.938121547	0.1554860975
18	0.9384091425	0.1550113425
19	0.9391356997	0.1530042844
20	0.9399682131	0.1501248078
21	0.9401801256	0.1487153449
22	0.9402406721	0.1484670765
23	0.9433436767	0.141537842
24	0.9444789223	0.1393736049
25	0.9467796867	0.1307808117
26	0.9476576099	0.1286635
27	0.9499886475	0.1239762723
28	0.9512147128	0.121398206
29	0.9512298494	0.1213728783
30	0.9517747673	0.1184749622
31	0.9537879361	0.1145694525
32	0.9543934004	0.1137251388
33	0.9542874442	0.1132173301
34	0.9557254219	0.1086355474
35	0.9571785363	0.1059122235
36	0.958192689	0.1049579961
37	0.9587830167	0.1036975458
38	0.9587830167	0.1036905032
39	0.9591008855	0.1009102113
40	0.9596458034	0.09955046079
41	0.9604783168	0.09843848335
42	0.9609626883	0.09721094519
43	0.9608718686	0.09668572286
44	0.9617800651	0.09516952093
45	0.9623855294	0.09395380405
46	0.9624309392	0.09281456917
47	0.9631423598	0.09185590725
48	0.9636721411	0.09074411977
49	0.9639294634	0.09034459207
50	0.9642624688	0.08964275712
51	0.9645652009	0.0893172895
52	0.9646711572	0.08889849755
53	0.964716567	0.08804741414
54	0.9652463483	0.08750427791
55	0.9653371679	0.08722159837
56	0.9660788617	0.08625111716
57	0.9664118671	0.08568360161
58	0.96653296	0.08522159303
59	0.9675925225	0.08399864648
60	0.9681677136	0.08161114041
61	0.9685915386	0.08073444168
62	0.9692121396	0.07992253574
63	0.9695905548	0.07944057978
64	0.969620828	0.07901745796
65	0.9698630137	0.07846652922
66	0.9698176039	0.07846536061
67	0.9698327405	0.07846457181
68	0.9698327405	0.07846455137
69	0.9698630137	0.07845029532
