iter	Passed	Remaining
0	19	39861
1	37	37543
2	54	36251
3	70	35406
4	87	34885
5	102	34152
6	120	34305
7	136	33882
8	151	33525
9	169	33815
10	187	33830
11	204	33865
12	222	33992
13	240	34102
14	260	34415
15	279	34662
16	299	34910
17	317	34910
18	334	34896
19	353	34995
20	368	34741
21	385	34689
22	402	34595
23	421	34668
24	437	34587
25	462	35105
26	482	35290
27	505	35591
28	522	35521
29	536	35211
30	550	34961
31	566	34860
32	583	34753
33	597	34558
34	615	34548
35	632	34520
36	650	34492
37	668	34497
38	684	34404
39	703	34471
40	721	34491
41	736	34356
42	752	34260
43	769	34194
44	784	34091
45	803	34113
46	820	34075
47	836	34017
48	852	33962
49	872	34030
50	888	33943
51	905	33927
52	923	33942
53	939	33863
54	955	33799
55	970	33702
56	988	33691
57	1004	33624
58	1021	33592
59	1037	33545
60	1060	33710
61	1089	34057
62	1136	34951
63	1158	35052
64	1174	34954
65	1190	34895
66	1201	34673
67	1209	34353
68	1220	34159
69	1229	33906
70	1246	33863
71	1265	33882
72	1282	33848
73	1299	33811
74	1316	33782
75	1332	33724
76	1348	33678
77	1365	33639
78	1381	33583
79	1395	33493
80	1411	33446
81	1427	33384
82	1445	33374
83	1465	33420
84	1481	33368
85	1498	33342
86	1514	33303
87	1529	33240
88	1545	33177
89	1562	33167
90	1579	33125
91	1593	33057
92	1598	32786
93	1614	32733
94	1630	32702
95	1641	32558
96	1656	32504
97	1678	32584
98	1695	32559
99	1712	32535
100	1732	32569
101	1748	32533
102	1770	32603
103	1790	32644
104	1852	33428
105	1919	34298
106	1959	34666
107	2010	35226
108	2054	35639
109	2106	36189
110	2168	36907
111	2230	37595
112	2302	38457
113	2340	38717
114	2378	38989
115	2410	39143
116	2444	39346
117	2483	39612
118	2522	39873
119	2553	40010
120	2588	40204
121	2621	40353
122	2647	40395
123	2671	40410
124	2692	40391
125	2720	40466
126	2733	40314
127	2751	40245
128	2771	40196
129	2791	40160
130	2813	40136
131	2836	40136
132	2873	40340
133	2906	40473
134	2933	40520
135	2955	40511
136	2979	40511
137	2998	40456
138	3019	40429
139	3040	40393
140	3060	40345
141	3082	40330
142	3100	40263
143	3118	40189
144	3136	40119
145	3155	40072
146	3175	40023
147	3194	39970
148	3212	39906
149	3229	39824
150	3246	39747
151	3262	39669
152	3279	39594
153	3296	39517
154	3314	39451
155	3332	39392
156	3349	39315
157	3384	39453
158	3401	39387
159	3419	39322
160	3436	39247
161	3454	39194
162	3474	39155
163	3492	39096
164	3504	38972
165	3516	38847
166	3528	38733
167	3541	38616
168	3553	38501
169	3564	38372
170	3579	38284
171	3599	38252
172	3621	38244
173	3640	38207
174	3659	38158
175	3678	38125
176	3697	38077
177	3716	38042
178	3736	38013
179	3756	37982
180	3771	37907
181	3790	37866
182	3809	37828
183	3830	37808
184	3847	37744
185	3866	37710
186	3887	37689
187	3905	37638
188	3922	37584
189	3939	37532
190	3958	37491
191	3975	37437
192	3992	37380
193	4008	37317
194	4025	37260
195	4045	37236
196	4067	37225
197	4087	37200
198	4109	37192
199	4130	37176
200	4143	37085
201	4156	36998
202	4170	36914
203	4182	36825
204	4195	36733
205	4207	36645
206	4220	36555
207	4233	36470
208	4246	36387
209	4259	36307
210	4273	36237
211	4295	36225
212	4314	36194
213	4332	36156
214	4349	36115
215	4368	36079
216	4385	36031
217	4405	36009
218	4417	35925
219	4439	35920
220	4452	35840
221	4471	35811
222	4487	35761
223	4507	35737
224	4526	35707
225	4532	35575
226	4549	35537
227	4561	35454
228	4573	35371
229	4585	35285
230	4600	35229
231	4612	35151
232	4625	35077
233	4639	35016
234	4651	34937
235	4661	34841
236	4673	34766
237	4684	34682
238	4696	34606
239	4709	34533
240	4721	34464
241	4732	34379
242	4744	34306
243	4756	34230
244	4767	34150
245	4779	34077
246	4790	33999
247	4803	33937
248	4814	33859
249	4827	33792
250	4845	33762
251	4860	33715
252	4873	33649
253	4891	33622
254	4908	33586
255	4925	33557
256	4941	33517
257	4963	33512
258	4984	33507
259	5004	33494
260	5024	33476
261	5042	33449
262	5061	33429
263	5081	33411
264	5100	33394
265	5111	33322
266	5123	33256
267	5135	33187
268	5147	33125
269	5158	33050
270	5170	32987
271	5182	32920
272	5192	32850
273	5212	32835
274	5231	32815
275	5250	32797
276	5267	32766
277	5280	32706
278	5291	32642
279	5306	32594
280	5318	32535
281	5338	32520
282	5360	32522
283	5386	32548
284	5410	32555
285	5427	32527
286	5441	32480
287	5456	32434
288	5471	32394
289	5489	32371
290	5508	32349
291	5527	32334
292	5545	32308
293	5562	32278
294	5567	32180
295	5579	32117
296	5590	32054
297	5601	31991
298	5612	31926
299	5622	31859
300	5633	31799
301	5644	31737
302	5655	31676
303	5666	31611
304	5676	31547
305	5686	31481
306	5698	31424
307	5710	31368
308	5720	31304
309	5725	31214
310	5737	31159
311	5748	31101
312	5763	31064
313	5779	31031
314	5797	31011
315	5809	30961
316	5821	30909
317	5835	30863
318	5849	30823
319	5861	30772
320	5873	30721
321	5884	30666
322	5896	30613
323	5908	30564
324	5921	30518
325	5935	30478
326	5948	30433
327	5960	30386
328	5973	30339
329	5985	30290
330	5997	30240
331	6009	30190
332	6020	30139
333	6034	30100
334	6046	30051
335	6058	30003
336	6069	29953
337	6080	29899
338	6093	29854
339	6104	29805
340	6116	29756
341	6127	29706
342	6139	29656
343	6149	29604
344	6160	29553
345	6171	29503
346	6183	29455
347	6193	29400
348	6210	29377
349	6223	29338
350	6234	29291
351	6247	29249
352	6260	29208
353	6272	29164
354	6284	29119
355	6296	29074
356	6307	29027
357	6318	28978
358	6329	28931
359	6340	28882
360	6351	28838
361	6364	28796
362	6375	28750
363	6387	28706
364	6398	28661
365	6410	28618
366	6420	28570
367	6432	28528
368	6450	28513
369	6466	28485
370	6481	28458
371	6496	28429
372	6519	28436
373	6538	28426
374	6554	28404
375	6566	28360
376	6581	28333
377	6592	28287
378	6602	28240
379	6613	28192
380	6623	28147
381	6636	28108
382	6646	28062
383	6657	28018
384	6676	28004
385	6691	27979
386	6703	27941
387	6713	27893
388	6724	27847
389	6734	27802
390	6744	27755
391	6760	27732
392	6777	27715
393	6795	27699
394	6813	27684
395	6825	27645
396	6842	27630
397	6859	27610
398	6872	27576
399	6889	27558
400	6903	27526
401	6919	27505
